,transaction_date,transaction_hour,location_state,location_city,rewards_number,rewards_member,num_of_items,coupon_flag,discount_amt,order_amt
0,2020-08-08,11:37 AM,Alabama,Huntsville,197-615-94,False,9,,,$201.87
1,2020-06-22,7:41 PM,Alabama,Montgomery,,,3,,,$86.58
2,2019-12-15,11:41 AM,Florida,North Port,,,12,Yes,0.31,$113.06
3,2020-02-28,7:23 PM,Alabama,Birmingham,994-590-43,True,26,,,$185.51
4,2020-01-05,11:15 AM,Florida,Panama City,113-499-05,False,32,,,$28.26
5,2020-03-01,12:04 PM,Alabama,Anniston,650-415-67,False,24,,,$68.60
6,2020-07-13,1:01 PM,Georgia,Columbus,759-994-99,True,12,,,$88.67
7,2020-03-21,8:37 PM,Georgia,Macon,,,29,,,$23.18
8,2020-01-31,4:49 PM,Florida,Tampa,725-122-08,False,11,Yes,0.12,$166.47
9,2020-06-21,7:53 PM,Georgia,Atlanta,,,12,,,$219.95
10,2019-10-31,11:14 AM,Florida,Tampa,,,11,,,$105.27
11,2020-09-15,6:02 PM,Florida,Brooksville,794-253-18,False,12,,,$45.36
12,2020-01-30,4:02 PM,Georgia,Duluth,578-049-39,True,11,,,$97.98
13,2019-11-12,1:29 PM,Florida,Miami,386-219-88,True,28,,,$28.49
14,2020-03-22,2:10 PM,Georgia,Atlanta,193-099-44,False,28,Yes,0.34,$52.13
15,2020-07-25,12:09 PM,Florida,Clearwater,133-517-83,True,15,,,$205.59
16,2020-03-11,2:14 PM,Florida,Bradenton,,,22,,,$192.94
17,2020-10-29,11:55 AM,Florida,Hialeah,573-141-68,False,12,,,$221.45
18,2020-04-02,5:20 PM,Florida,Tampa,086-350-90,True,34,,,$57.85
19,2019-12-22,5:16 PM,Georgia,Cumming,,,3,Yes,0.16,$231.85
20,2020-08-04,6:17 PM,Florida,Hialeah,,,6,,,$156.56
21,2019-11-27,7:54 PM,Florida,Miami,,,30,,,$57.76
22,2019-11-27,2:47 PM,Florida,Jacksonville,860-536-03,True,6,Yes,0.25,$101.57
23,2019-11-15,6:10 PM,Mississippi,Gulfport,,,4,,,$111.81
24,2020-03-27,4:19 PM,Florida,Boynton Beach,,,29,Yes,0.41,$225.58
25,2019-12-20,1:02 PM,Georgia,Macon,180-522-47,True,9,,,$225.33
26,2020-07-05,7:49 PM,Alabama,Birmingham,256-102-08,True,8,,,$64.92
27,2019-10-05,7:39 PM,Florida,Panama City,155-966-41,True,15,,,$73.67
28,2019-11-13,11:21 AM,Florida,Spring Hill,,,26,,,$154.29
29,2020-02-02,4:25 PM,Georgia,Albany,,,22,,,$109.76
30,2020-06-04,1:17 PM,Florida,Delray Beach,523-062-50,False,14,,,$98.17
31,2020-07-23,3:32 PM,Florida,Tampa,199-134-71,True,19,,,$144.49
32,2020-10-03,5:47 PM,Florida,Jacksonville,118-996-40,True,28,,,$124.39
33,2020-04-13,12:13 PM,Florida,Hialeah,,,25,,,$159.18
34,2020-10-13,6:24 PM,Georgia,Marietta,272-054-02,True,5,,,$99.59
35,2020-05-26,7:16 PM,Florida,Jacksonville,331-686-70,True,10,Yes,0.33,$117.32
36,2019-12-19,5:37 PM,Florida,Miami,902-604-23,False,33,,,$224.40
37,2020-05-15,2:31 PM,Florida,Orlando,518-013-89,True,18,,,$83.68
38,2020-04-03,8:10 PM,Florida,Tampa,789-032-87,False,30,,,$47.03
39,2020-03-24,8:12 PM,Georgia,Athens,418-769-42,False,7,,,$213.81
40,2020-08-14,1:19 PM,Florida,Delray Beach,,,28,,,$76.79
41,2020-06-13,4:02 PM,South Carolina,Columbia,,,13,,,$114.08
42,2020-01-06,8:46 PM,Alabama,Mobile,,,9,,,$161.73
43,2020-10-07,8:43 PM,Florida,Fort Lauderdale,,,22,,,$130.12
44,2020-07-13,11:01 AM,Alabama,Mobile,,,5,,,$173.26
45,2019-10-25,1:21 PM,Florida,Clearwater,083-027-49,False,21,,,$34.99
46,2020-05-21,7:34 PM,Florida,Saint Petersburg,,,8,,,$90.64
47,2020-01-09,5:11 PM,Florida,Tampa,598-573-73,False,11,Yes,0.38,$225.06
48,2019-10-08,2:14 PM,Florida,Saint Petersburg,892-585-06,False,29,Yes,0.32,$31.07
49,2019-10-25,3:10 PM,Georgia,Macon,682-295-99,True,20,,,$72.57
50,2020-01-08,7:08 PM,Florida,Fort Lauderdale,012-411-71,False,22,,,$99.24
51,2020-03-20,8:15 PM,Alabama,Montgomery,830-791-09,False,28,,,$65.98
52,2020-09-03,11:56 AM,Georgia,Atlanta,306-834-91,True,6,,,$167.17
53,2020-02-04,8:01 PM,Alabama,Gadsden,709-520-52,False,8,,,$183.34
54,2020-04-29,2:40 PM,Georgia,Atlanta,582-109-91,False,24,,,$174.79
55,2020-04-03,4:16 PM,Georgia,Lawrenceville,599-090-10,True,6,,,$123.72
56,2020-09-13,4:47 PM,Florida,Hialeah,609-251-42,False,17,Yes,0.22,$124.21
57,2020-06-17,11:32 AM,Mississippi,Biloxi,647-485-31,True,21,,,$181.16
58,2020-07-15,6:26 PM,Mississippi,Jackson,,,3,Yes,0.3,$124.07
59,2020-10-18,8:56 PM,Florida,Jacksonville,,,7,,,$73.92
60,2020-03-31,3:13 PM,Florida,Delray Beach,,,21,,,$95.70
61,2020-01-03,8:50 PM,South Carolina,Columbia,,,26,Yes,0.4,$161.77
62,2020-03-06,11:51 AM,Alabama,Montgomery,,,16,,,$85.36
